DATE,TMAX,NORM,NORM_KS
2013-01-13,11.0,,0.4864793107080454
2013-01-14,12.0,,0.48648951588163303
2013-01-15,31.0,,0.48649972105522066
2013-01-16,48.0,,0.4865099262288083
2013-01-17,50.0,,0.4865201314023959
2013-01-18,56.0,0.5673076923076924,0.5673076923076924
2013-01-19,58.0,0.5865384615384616,0.5865384615384616
2013-01-20,48.0,0.4903846153846154,0.4903846153846154
2013-01-21,55.0,0.5576923076923077,0.5576923076923077
2013-01-22,63.0,0.6346153846153847,0.6346153846153847
2013-01-23,60.0,0.6057692307692308,0.6057692307692308
2013-01-24,64.0,0.6442307692307693,0.6442307692307693
2013-01-25,55.0,0.5576923076923077,0.5576923076923077
2013-01-26,55.0,0.5576923076923077,0.5576923076923077
2013-01-27,58.0,0.5865384615384616,0.5865384615384616
2013-01-28,56.0,0.5673076923076924,0.5673076923076924
2013-01-29,28.0,0.29807692307692313,0.29807692307692313
2013-01-30,37.0,0.38461538461538464,0.38461538461538464
2013-01-31,46.0,0.4711538461538462,0.4711538461538462
2013-02-01,49.0,0.5,0.5
2013-02-02,57.0,,0.47178843897427686
2013-02-03,53.0,,0.4717934770110365
2013-02-04,52.0,,0.4717985150477962
2013-02-05,58.0,,0.47180355308455585
2013-02-06,56.0,,0.4718085911213155
2013-02-07,42.0,0.4326923076923077,0.4326923076923077
2013-02-08,51.0,0.5192307692307693,0.5192307692307693
2013-02-09,37.0,0.38461538461538464,0.38461538461538464
2013-02-10,34.0,0.3557692307692308,0.3557692307692308
2013-02-11,30.0,0.31730769230769235,0.31730769230769235
2013-02-12,39.0,0.40384615384615385,0.40384615384615385
2013-02-13,45.0,0.46153846153846156,0.46153846153846156
2013-02-14,38.0,0.3942307692307693,0.3942307692307693
2013-02-15,35.0,0.3653846153846154,0.3653846153846154
2013-02-16,54.0,0.5480769230769231,0.5480769230769231
2013-02-17,62.0,0.625,0.625
2013-02-18,40.0,0.4134615384615385,0.4134615384615385
2013-02-19,42.0,0.4326923076923077,0.4326923076923077
2013-02-20,35.0,0.3653846153846154,0.3653846153846154
2013-02-21,23.0,0.25,0.25
2013-02-22,30.0,0.31730769230769235,0.31730769230769235
2013-02-23,45.0,0.46153846153846156,0.46153846153846156
2013-02-24,27.0,0.2884615384615385,0.2884615384615385
2013-02-25,33.0,0.3461538461538462,0.3461538461538462
2013-02-26,29.0,0.3076923076923077,0.3076923076923077
2013-02-27,32.0,0.33653846153846156,0.33653846153846156
2013-02-28,40.0,0.4134615384615385,0.4134615384615385
2013-03-01,44.0,0.451923076923077,0.451923076923077
2013-03-02,56.0,0.5673076923076924,0.5673076923076924
2013-03-03,57.0,0.576923076923077,0.576923076923077
2013-03-04,41.0,0.42307692307692313,0.42307692307692313
2013-03-05,40.0,0.4134615384615385,0.4134615384615385
2013-03-06,56.0,0.5673076923076924,0.5673076923076924
2013-03-07,63.0,0.6346153846153847,0.6346153846153847
2013-03-08,46.0,0.4711538461538462,0.4711538461538462
2013-03-09,34.0,0.3557692307692308,0.3557692307692308
2013-03-10,37.0,0.38461538461538464,0.38461538461538464
2013-03-11,50.0,0.5096153846153846,0.5096153846153846
2013-03-12,38.0,0.3942307692307693,0.3942307692307693
2013-03-13,62.0,0.625,0.625
2013-03-14,69.0,0.6923076923076924,0.6923076923076924
2013-03-15,73.0,0.7307692307692308,0.7307692307692308
2013-03-16,51.0,0.5192307692307693,0.5192307692307693
2013-03-17,59.0,0.5961538461538461,0.5961538461538461
2013-03-18,49.0,0.5,0.5
2013-03-19,52.0,0.5288461538461539,0.5288461538461539
2013-03-20,60.0,0.6057692307692308,0.6057692307692308
2013-03-21,55.0,0.5576923076923077,0.5576923076923077
2013-03-22,51.0,0.5192307692307693,0.5192307692307693
2013-03-23,24.0,0.25961538461538464,0.25961538461538464
2013-03-24,26.0,0.27884615384615385,0.27884615384615385
2013-03-25,30.0,0.31730769230769235,0.31730769230769235
2013-03-26,50.0,0.5096153846153846,0.5096153846153846
2013-03-27,54.0,0.5480769230769231,0.5480769230769231
2013-03-28,62.0,0.625,0.625
2013-03-29,65.0,,0.5612223110245987
2013-03-30,65.0,,0.5612576929705838
2013-03-31,68.0,,0.5612930749165689
2013-04-01,53.0,,0.561328456862554
2013-04-02,40.0,,0.561363838808539
2013-04-03,59.0,0.5961538461538461,0.5961538461538461
2013-04-04,66.0,0.6634615384615385,0.6634615384615385
2013-04-05,71.0,0.7115384615384616,0.7115384615384616
2013-04-06,61.0,0.6153846153846154,0.6153846153846154
2013-04-07,62.0,0.625,0.625
2013-04-08,70.0,0.701923076923077,0.701923076923077
2013-04-09,23.0,0.25,0.25
2013-04-10,24.0,0.25961538461538464,0.25961538461538464
2013-04-11,53.0,0.5384615384615385,0.5384615384615385
2013-04-12,59.0,0.5961538461538461,0.5961538461538461
2013-04-13,67.0,0.6730769230769231,0.6730769230769231
2013-04-14,51.0,0.5192307692307693,0.5192307692307693
2013-04-15,37.0,0.38461538461538464,0.38461538461538464
2013-04-16,44.0,0.451923076923077,0.451923076923077
2013-04-17,30.0,0.31730769230769235,0.31730769230769235
2013-04-18,34.0,,0.3837437256516314
2013-04-19,53.0,,0.38371885998206445
2013-04-20,57.0,,0.3836939943124975
2013-04-21,62.0,,0.38366912864293057
2013-04-22,53.0,,0.3836442629733636
2013-04-23,31.0,0.3269230769230769,0.3269230769230769
2013-04-24,52.0,0.5288461538461539,0.5288461538461539
2013-04-25,64.0,0.6442307692307693,0.6442307692307693
2013-04-26,63.0,0.6346153846153847,0.6346153846153847
2013-04-27,70.0,0.701923076923077,0.701923076923077
2013-04-28,76.0,0.7596153846153847,0.7596153846153847
2013-04-29,77.0,0.7692307692307693,0.7692307692307693
2013-04-30,60.0,0.6057692307692308,0.6057692307692308
2013-05-01,37.0,0.38461538461538464,0.38461538461538464
2013-05-02,43.0,0.44230769230769235,0.44230769230769235
2013-05-03,58.0,0.5865384615384616,0.5865384615384616
2013-05-04,57.0,0.576923076923077,0.576923076923077
2013-05-05,57.0,0.576923076923077,0.576923076923077
2013-05-06,61.0,0.6153846153846154,0.6153846153846154
2013-05-07,68.0,0.6826923076923077,0.6826923076923077
2013-05-08,59.0,0.5961538461538461,0.5961538461538461
2013-05-09,54.0,0.5480769230769231,0.5480769230769231
2013-05-10,62.0,0.625,0.625
2013-05-11,66.0,0.6634615384615385,0.6634615384615385
2013-05-12,75.0,0.75,0.75
2013-05-13,81.0,0.8076923076923077,0.8076923076923077
2013-05-14,84.0,0.8365384615384616,0.8365384615384616
2013-05-15,79.0,0.7884615384615385,0.7884615384615385
2013-05-16,79.0,0.7884615384615385,0.7884615384615385
2013-05-17,84.0,0.8365384615384616,0.8365384615384616
2013-05-18,74.0,0.7403846153846154,0.7403846153846154
2013-05-19,69.0,0.6923076923076924,0.6923076923076924
2013-05-20,64.0,0.6442307692307693,0.6442307692307693
2013-05-21,69.0,0.6923076923076924,0.6923076923076924
2013-05-22,75.0,0.75,0.75
2013-05-23,68.0,0.6826923076923077,0.6826923076923077
2013-05-24,85.0,0.8461538461538463,0.8461538461538463
2013-05-25,86.0,0.8557692307692308,0.8557692307692308
2013-05-26,84.0,0.8365384615384616,0.8365384615384616
2013-05-27,81.0,0.8076923076923077,0.8076923076923077
2013-05-28,81.0,0.8076923076923077,0.8076923076923077
2013-05-29,63.0,0.6346153846153847,0.6346153846153847
2013-05-30,69.0,0.6923076923076924,0.6923076923076924
2013-05-31,71.0,0.7115384615384616,0.7115384615384616
2013-06-01,68.0,0.6826923076923077,0.6826923076923077
2013-06-02,83.0,0.826923076923077,0.826923076923077
2013-06-03,90.0,0.8942307692307693,0.8942307692307693
2013-06-04,74.0,0.7403846153846154,0.7403846153846154
2013-06-05,54.0,0.5480769230769231,0.5480769230769231
2013-06-06,77.0,0.7692307692307693,0.7692307692307693
2013-06-07,82.0,,0.7175873182765033
2013-06-08,75.0,,0.7176738933443312
2013-06-09,89.0,,0.717760468412159
2013-06-10,96.0,,0.7178470434799868
2013-06-11,97.0,,0.7179336185478147
2013-06-12,91.0,0.9038461538461539,0.9038461538461539
2013-06-13,91.0,0.9038461538461539,0.9038461538461539
2013-06-14,88.0,0.8750000000000001,0.8750000000000001
2013-06-15,82.0,0.8173076923076924,0.8173076923076924
2013-06-16,84.0,0.8365384615384616,0.8365384615384616
2013-06-17,79.0,,0.8417785592866568
2013-06-18,86.0,,0.8419060524966059
2013-06-19,92.0,,0.842033545706555
2013-06-20,90.0,,0.8421610389165041
2013-06-21,94.0,,0.8422885321264532
2013-06-22,87.0,0.8653846153846154,0.8653846153846154
2013-06-23,86.0,0.8557692307692308,0.8557692307692308
2013-06-24,89.0,0.8846153846153847,0.8846153846153847
2013-06-25,90.0,0.8942307692307693,0.8942307692307693
2013-06-26,95.0,0.9423076923076924,0.9423076923076924
2013-06-27,95.0,0.9423076923076924,0.9423076923076924
2013-06-28,92.0,0.9134615384615385,0.9134615384615385
2013-06-29,81.0,0.8076923076923077,0.8076923076923077
2013-06-30,74.0,0.7403846153846154,0.7403846153846154
2013-07-01,77.0,0.7692307692307693,0.7692307692307693
2013-07-02,82.0,0.8173076923076924,0.8173076923076924
2013-07-03,87.0,0.8653846153846154,0.8653846153846154
2013-07-04,90.0,0.8942307692307693,0.8942307692307693
2013-07-05,89.0,0.8846153846153847,0.8846153846153847
2013-07-06,88.0,0.8750000000000001,0.8750000000000001
2013-07-07,85.0,0.8461538461538463,0.8461538461538463
2013-07-08,93.0,0.9230769230769231,0.9230769230769231
2013-07-09,92.0,0.9134615384615385,0.9134615384615385
2013-07-10,89.0,0.8846153846153847,0.8846153846153847
2013-07-11,97.0,0.9615384615384616,0.9615384615384616
2013-07-12,91.0,0.9038461538461539,0.9038461538461539
2013-07-13,92.0,0.9134615384615385,0.9134615384615385
2013-07-14,80.0,0.7980769230769231,0.7980769230769231
2013-07-15,75.0,0.75,0.75
2013-07-16,80.0,0.7980769230769231,0.7980769230769231
2013-07-17,86.0,0.8557692307692308,0.8557692307692308
2013-07-18,92.0,0.9134615384615385,0.9134615384615385
2013-07-19,83.0,0.826923076923077,0.826923076923077
2013-07-20,92.0,0.9134615384615385,0.9134615384615385
2013-07-21,90.0,0.8942307692307693,0.8942307692307693
2013-07-22,95.0,0.9423076923076924,0.9423076923076924
2013-07-23,90.0,0.8942307692307693,0.8942307692307693
2013-07-24,81.0,0.8076923076923077,0.8076923076923077
2013-07-25,82.0,0.8173076923076924,0.8173076923076924
2013-07-26,87.0,0.8653846153846154,0.8653846153846154
2013-07-27,80.0,,0.8510138798186359
