"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-07","7.83"," 1849"," 1849","0.00",,,,"30","36","23","    0","  320","  320",,"17.0","19.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-08","6.71"," 0741"," 0740","0.00",,,,"26","34","18","    0","   60","   60",,"15.0","16.1","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-09","7.61"," 2354"," 1037","0.00",,,,"30","45","14","    0","  210","  260",,"14.1","21.0","    1",,,,,,,,,,,"    1",,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-10","8.50"," 2335"," 1526","0.00",,,,"37","55","18",,"  180","   60",,"15.0","17.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-11","5.82"," 0017"," 0015","0.00",,,,"41","57","24","    0","  180","  180",,"13.0","14.1",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-12","5.82"," 2043"," 2042","0.00",,,,"47","58","35","    0","  260","  260",,"13.0","14.1",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-13","11.18"," 1232"," 1232","0.00",,,,"43","58","28","    0","  300","  300",,"29.1","32.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-14","12.97"," 1139"," 1134","0.00",,,,"45","63","26","    0","  270","  270",,"29.1","38.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-15","10.51"," 1246"," 0448","0.02",,,,"25","32","18","    0","   10","   30",,"17.9","21.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,"    1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-16","9.17"," 0516"," 0515","0.00",,,,"22","30","14","    0","  120","  120",,"16.1","17.9",,,,,,,,,,,,,,,,,"    1",,,
